TITLE,file_provided_by_alexia_taylor,,,,
DATA TYPE,CD SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,29/04/2024,,,,
TIME,14:38:30,,,,
SPECTROMETER/DATA SYSTEM,JASCO Corp., J-1500, Rev. 1.00,,
DELTAX,-1,,,,
XUNITS,NANOMETERS,,,,
YUNITS,CD [mdeg],,,,
Y2UNITS,HT [V],,,,
Y3UNITS,ABSORBANCE,,,,
FIRSTX,250,,,,
LASTX,190,,,,
NPOINTS,61,,,,
FIRSTY,-0.31056,,,,
MAXY,56.20002,,,,
MINY,-42.16159,,,,
XYDATA,,,,,
Channel 1,,,,,
208,407.535,408.442,409.312,410.535,411.793
207,413.434,414.532,415.637,417.226,418.938
206,419.935,421.22,422.722,424.802,427.166
205,427.423,429.074,431.152,433.923,437.329
204,435.957,438.162,440.914,444.63,449.391
203,445.832,448.668,452.421,457.538,464.211
202,457.737,461.556,466.86,473.916,483.166
201,472.896,478.217,485.659,495.493,508.517
200,491.732,499.193,509.663,523.635,542.184
199,516.011,526.742,541.713,561.931,588.955
198,547.095,562.533,584.269,613.951,653.065
197,587.967,610.538,642.286,684.385,736.31
196,644.737,677.377,720.721,778.731,859.816
195,712.241,752.818,814.19,904.45,982.312
194,800.73,861.329,939.658,1016.79,1044.56
193,919.36,962.104,1005.3,1054.14,1055.2
192,1010.84,1003.26,1022.28,1059.75,1056.22
191,1046.5,1011.84,1024.54,1060.12,1055.78
190,1052.62,1012.36,1024.04,1059.03,1054.24
Channel 3,,,,,
,4.94,14.93,25.08,35.02,45.03
250,0.0342209,0.0416357,0.04631,0.0498708,0.0528946
249,0.0337463,0.0403809,0.0450849,0.048836,0.0524154
248,0.0336736,0.0405525,0.0447688,0.0491225,0.0527326
247,0.0335311,0.0402329,0.0447921,0.0491443,0.0529005
246,0.0340945,0.0406609,0.0460772,0.0500228,0.0535066
245,0.0354479,0.0423597,0.0477988,0.051568,0.05472
244,0.0373565,0.04486,0.0496887,0.0535175,0.0565132
243,0.0392401,0.0470552,0.0510667,0.0554481,0.0582144
242,0.041695,0.0494845,0.053354,0.057697,0.0601613
241,0.0445039,0.0516879,0.0559473,0.0597493,0.0624813
240,0.0485422,0.0551822,0.0598733,0.0633139,0.0664812
239,0.0531696,0.05935,0.0642482,0.0674047,0.0708187
238,0.0589432,0.064678,0.0694223,0.0727728,0.0764178
237,0.0655074,0.0710718,0.0755851,0.0795221,0.0834602
236,0.0730906,0.0787205,0.0835295,0.0878601,0.0918019
235,0.0832942,0.0887066,0.0940315,0.0982368,0.101652
234,0.0946244,0.099742,0.105358,0.109097,0.112357
233,0.110578,0.11572,0.121118,0.124499,0.127857
232,0.128256,0.13311,0.138113,0.141203,0.144305
231,0.147848,0.152556,0.157305,0.159826,0.162588
230,0.172664,0.177153,0.181073,0.183376,0.185609
229,0.198978,0.202674,0.20589,0.207736,0.209476
228,0.225227,0.228137,0.231136,0.232564,0.233638
227,0.249029,0.251869,0.254638,0.255925,0.256358
226,0.27149,0.274405,0.276762,0.277963,0.277775
225,0.291357,0.294052,0.296045,0.297292,0.296578
224,0.311353,0.313777,0.315377,0.316425,0.315674
223,0.330857,0.333234,0.334269,0.33522,0.334819
222,0.347962,0.350308,0.350948,0.351873,0.352002
221,0.364937,0.367401,0.368241,0.36873,0.369139
220,0.381287,0.383833,0.385215,0.385338,0.385653
219,0.397179,0.399438,0.400975,0.401461,0.401543
218,0.413685,0.415924,0.417911,0.418484,0.418674
217,0.429045,0.431387,0.433904,0.434355,0.434771
216,0.443706,0.446291,0.449078,0.44995,0.450743
215,0.460067,0.462848,0.465349,0.467034,0.468364
214,0.480684,0.483825,0.486377,0.488556,0.490852
213,0.503817,0.507694,0.510286,0.513017,0.51601
212,0.53095,0.535217,0.538175,0.541797,0.545081
211,0.559103,0.563693,0.567418,0.571934,0.575753
210,0.593041,0.598095,0.602391,0.608209,0.613673
209,0.629267,0.635272,0.640794,0.648271,0.655694
208,0.673644,0.681059,0.688159,0.698118,0.708337
207,0.717802,0.726664,0.73557,0.748346,0.76206
206,0.765627,0.775871,0.787802,0.80428,0.822916
205,0.816315,0.829273,0.845527,0.867097,0.893451
204,0.869969,0.886982,0.90811,0.936476,0.972515
203,0.92725,0.948709,0.976934,1.0151,1.06433
202,0.990635,1.01888,1.05777,1.10894,1.17505
201,1.06177,1.10001,1.15288,1.2217,1.3111
200,1.13672,1.1885,1.26007,1.35367,1.47471
199,1.21414,1.28547,1.38295,1.51104,1.67627
198,1.28961,1.38696,1.52025,1.69562,1.91601
197,1.36188,1.4952,1.6758,1.90389,2.16927
196,1.42028,1.59763,1.82218,2.10531,2.47219
195,1.42453,1.6265,1.91494,2.30701,2.61903
194,1.30685,1.57762,1.9043,2.20397,2.307
193,1.11825,1.28987,1.45663,1.63825,1.64205
192,0.652821,0.624009,0.695465,0.833593,0.820755
191,0.272606,0.143641,0.191092,0.322126,0.306349
190,0.183277,0.0339398,0.0775526,0.206527,0.189096
